cycle,nbheard_in_csp,nb_minifarms,cspNumber,crop_residue_price,delivered_price,collected_price,yearNb,biomass4milk,milk4minifarm,milk4collected,milk4traditional,milk2autoconsumption,milk2milkery,milk2market,producedMilk,minifarmIncome,minifarmExpense,collectedIncome,collectedExpense,traditionalIncome,traditionalExpense,producedCI,collectedCI,biomassHead,biomassHa,cowDensity,cowNb,milkingNb,minifarmNb,collectedNb,traditionalNb,pastoral4minifarm,pastoral4collected,pastoral4others,nmPastoral4collected,nmPastoral4others,residue4minifarm,residue4collected,residue4others,complement4minifarm,complement4collected,complement4others
9,15668,30,45,50,340,300,0,19.53682373913857,224.5,27.30915572975186,0.01348688226609146,1010.0,111517.78513022182,74450.68895299286,187336.05608007533,584068.3333333334,144200.0,126607.08883460032,58873.6802313061,9.928137505407145,0.0,2150.885814257148,3514.1136148448923,84.5635416907621,25.60520341246878,0.3027924670669978,240773,46985,206,34233,206540,0.0,64.55436903750234,66.55892134707811,66.55892134707791,66.55892134707786,165.0,49.223139090844455,2.5543767479250974,75.0,15.666666666666666,0.0
9,16437,30,50,50,340,300,0,18.885352143421958,224.5,28.224180858460258,0.01032258529388377,1092.0,124282.87675969947,69339.5962476379,194994.63850995112,581085.0,147000.0,130078.07607083656,62131.28164880304,6.278516819473883,0.0,2148.3744131483268,3300.1658546411445,84.09621051298727,25.60520341246878,0.30447511554060425,242111,47304,210,34480,207631,0.0,64.17482600640507,66.19109073730586,66.19109073730641,66.19109073730638,165.0,50.805105784477014,2.552061070991993,75.0,16.240208877284594,0.0
9,16758,30,55,50,340,300,0,18.668056871120093,224.5,30.73232115595972,0.01248032487757992,1133.0,118785.49901288371,77363.31085480623,197628.73881268283,584075.0,147000.0,134347.11418550817,62922.465915190216,6.8237833670832035,0.0,2161.313703953732,3501.4995818462507,83.88935520670873,25.60520341246878,0.30522589367120445,242708,47409,210,32086,210622,0.0,63.866453610445475,66.02827747540135,66.02827747540248,66.02827747540162,165.0,55.03719897632131,2.591225093969293,75.0,17.717492984097287,0.0
9,18302,30,60,50,340,300,0,17.524155540012078,224.5,30.34029720568927,0.01726361564083402,1238.0,124144.5569738355,86077.69912305914,211937.56973835485,582581.6666666666,147700.0,133965.4980414694,62415.932128524706,10.925156054539165,0.0,2190.223913046056,3641.0469179792053,85.9289951909493,25.60520341246878,0.2979809475901531,236947,46241,211,34949,201998,0.0,65.58414833134267,67.63365296669666,67.63365296669707,67.63365296669706,165.0,54.2552687440232,2.553476616565336,75.0,17.632485997414907,0.0
9,21183,30,65,50,340,300,0,15.975597988569088,224.5,32.99432194434763,0.00816388133923096,1318.0,138981.91699999126,97261.7986153704,237764.09674992049,594551.6666666666,148400.0,155970.9619270545,74920.79246959684,5.384997620146272,0.0,2217.1947475122774,3727.545766064843,82.06485031885767,25.60520341246878,0.31201182129719873,248104,48470,212,36036,212068,0.0,62.689292586520466,64.59223216675322,64.59223216675277,64.59223216675292,165.0,60.868435470597035,2.5074483753070402,75.0,19.431628682601445,0.0
9,20711,30,70,50,340,300,0,16.103207161500144,224.5,33.38497159917347,0.01633369086368965,1391.0,141055.62414427823,91279.13595970083,234168.38568974732,590068.3333333334,151200.0,143654.92375695027,68078.30738810205,11.72818432361692,0.0,2210.2509333891603,3588.723752446741,86.01684638478216,25.60520341246878,0.29767661206652624,236705,46209,216,35047,201658,0.0,65.61219130910996,67.70279955851971,67.70279955852224,67.70279955852102,165.0,59.4771003368371,2.6517276606530067,75.0,19.582558970693352,0.0
9,20610,30,75,50,340,300,0,16.276526123205272,224.5,35.100721380982975,0.0137422543108827,1362.0,138969.4804641605,90990.8309709178,231688.61383666878,573601.6666666666,145600.0,153973.9029223576,73467.0648427148,10.862590393858534,0.0,2218.9540553295396,3624.6568897104266,85.24615388017276,25.60520341246878,0.30036784355644985,238845,46634,208,32963,205882,0.0,64.97683343809189,67.09619698758617,67.09619698758611,67.09619698758631,165.0,62.88348279667268,2.6467577217907654,75.0,20.65148063781321,0.0
9,22806,30,80,50,340,300,0,15.192343902071025,224.5,36.956331825488896,0.01424369941129279,1451.0,148521.8598861826,101775.92279512866,252137.22467971803,595293.3333333334,146300.0,170993.73367529552,82383.69076497636,8.784305707976875,0.0,2250.0458957470255,3738.9801853250356,84.28663883488376,25.60520341246878,0.30378721665042285,241564,47209,209,34056,207508,0.0,64.30406198002105,66.34097452228174,66.34097452227994,66.34097452228032,165.0,67.00981892492776,2.651571404355877,75.0,21.928162185985016,0.0
9,20540,30,85,50,340,300,0,16.259156581882248,224.5,37.238653222180226,0.00996192122262505,1405.0,137196.6406658355,93045.39066583553,231922.5803690786,584830.0,149800.0,154605.86491707253,73352.75245724204,5.916116399155024,0.0,2203.2963053869917,3661.2356095445457,83.93915677309849,25.60520341246878,0.30504480145879836,242564,47361,214,31105,211459,0.0,63.79331775354511,66.06747567446182,66.06747567446111,66.0674756744612,165.0,66.75944757799567,2.5551426180922197,75.0,21.84494129001126,0.0
9,23260,30,90,50,340,300,0,14.924312776731778,224.5,38.87971046993594,0.01595784704626724,1544.0,143034.70970049466,111517.28254661654,256542.30218068854,629700.0,148400.0,170355.24217005217,80169.99810189827,9.825962013083169,0.0,2247.353738439324,3949.290823299555,85.58729186445109,25.60520341246878,0.29917062281887635,237893,46440,212,32966,204927,0.0,65.19494908273207,67.36470249019455,67.36470249019511,67.36470249019497,165.0,69.55995239171195,2.630550575756016,75.0,23.076572470373748,0.0
9,22749,30,95,50,340,300,0,15.088893288352214,224.5,41.832431440644676,0.01381718215364804,1540.0,141966.9555489486,108963.36858600471,252850.008875818,644670.0,153300.0,178048.26770545743,83431.79700474172,10.33966711738368,0.0,2223.432728930652,3888.2423578603766,85.5898103440718,25.60520341246878,0.2991618197252177,237886,46460,219,30145,207741,0.0,64.92043969373807,67.3666847544612,67.36668475446209,67.36668475446156,165.0,73.88228878630721,2.609138204873899,75.0,24.71480683137125,0.0
9,24490,30,100,50,340,300,0,14.501648875913194,224.5,39.637978667323885,0.01368829929936717,1678.0,156080.74388033408,107832.70148460128,265966.0379052418,577340.0,145600.0,165098.85869202233,79433.77930077173,8.995573333503552,0.0,2261.1962700720305,3784.232286988457,84.79986682122541,25.60520341246878,0.30194862766057784,240102,46886,208,33568,206534,0.0,64.67161073461567,66.74492994435626,66.74492994435683,66.74492994435666,165.0,71.52106370307199,2.5907243623092966,75.0,23.655913978494624,0.0
