exp_simu,cycle,nb_minifarms,cspNumber,crop_residue_price,delivered_price,collected_price,month,yearNb,biomass4milk,milk4minifarm,milk4collected,milk4traditional,milk2autoconsumption,milk2milkery,milk2market,producedMilk,minifarmIncome,minifarmExpense,collectedIncome,collectedExpense,traditionalIncome,traditionalExpense,producedCI,collectedCI,biomassHead,biomassHa,cowDensity,cowNb,milkingNb,minifarmNb,collectedNb,traditionalNb,pastoral4minifarm,pastoral4collected,pastoral4others,nmPastoral4collected,nmPastoral4others,residue4minifarm,residue4collected,residue4others,complement4minifarm,complement4collected,complement4others
0,24,30,17,50,340,300,24,2,26.571142207270043,186.91134096362956,18.424378688952007,0.04345252720865149,424.0,39147.67743215691,18761.053671742575,58961.81280517894,433305.9777022872,89102.6523857018,37062.544714752396,10378.859477088778,16.05824381058145,0.0,1639.3873887094928,2297.455600892692,76.00510577422241,22.942755417344113,0.3018580815543748,240030,22323,212,32022,208008,59.82268192725909,59.82268192725912,59.822681927259374,59.875109080776085,59.88418593078627,150.1773180727409,39.98446408324523,5.1518155258764,30.0,2.0158478605388273,0.0
0,24,30,17,50,340,300,24,2,26.168871753042126,187.40008795110322,18.119783363938176,0.03889148940797144,456.0,37387.017068053094,21307.532206535638,59724.62432959168,441304.5406047666,88338.60480772406,37316.86391361322,10272.062070192971,11.489848136797397,0.0,1633.0006345107483,2463.812169342275,77.24701821555824,22.942755417344113,0.2970050617788537,236171,21939,211,33183,202988,60.80017590220648,60.80017590220657,60.8001759022049,60.85864533639606,60.86234710958711,149.19982409779357,39.37376396229633,5.058074185087999,30.0,1.944103194103194,0.0
0,24,30,17,50,340,300,24,2,25.7128049561427,187.5207904007447,20.83390954413477,0.04086195526020153,473.0,35219.9218067604,24519.135830040217,60797.6446879384,439708.78814041405,86580.65462348607,42342.094120801856,11773.860856995041,15.755720771223713,0.0,1685.248585593828,2747.6390173811583,77.55372470736579,22.942755417344113,0.295830477567831,235237,21851,207,29419,205818,61.04158080148955,61.04158080148965,61.04158080148887,61.13473846072602,61.10785039474945,148.9584191985104,44.83341347697039,4.959585310138769,30.0,2.1555015619576534,0.0
0,25,30,17,50,340,300,25,2,29.269592442275364,189.79916882643377,11.20781692088604,0.00986502929731941,496.0,72939.02836110065,48287.752249709825,122140.40990905742,430048.78198060545,94787.9471306579,67044.93020657108,29554.013184469484,8.964420468204594,0.0,2290.931157402299,3739.3272865889376,55.56207591386482,16.90084908824091,0.30417958311063603,241876,70818,212,36555,205321,43.732225101911716,43.73222510191177,43.73222510191036,43.732225101911666,43.73222510191207,166.26777489808836,33.70963563606005,1.7679673024577949,30.0,0.5864453665283541,0.0
0,25,30,17,50,340,300,25,2,34.50389908057674,190.05141756889765,10.616650936008984,0.00869345429022185,423.0,64756.45956299214,35838.39338602067,101407.53584863395,421599.9803362862,94669.10994531937,57563.64511664046,24020.894536974338,6.594302417958072,0.0,2141.2833543362613,3260.76542048186,55.98938746715813,16.90084908824091,0.3018580815543748,240030,70251,212,32022,208008,44.06855675853016,44.06855675853019,44.068556758530406,44.06855675853023,44.06855675853038,165.9314432414698,30.36525538130325,1.7811741008830377,30.0,0.6693327720479899,0.0
0,25,30,17,50,340,300,25,2,32.174926723777,190.72484668254776,12.473287975991552,0.00868942570967069,501.0,63180.77774791285,45208.16655537316,109276.849726673,420864.0364239597,92126.57052602801,64237.46832631969,26869.369962377274,7.169846888621471,0.0,2200.303144382408,3723.4007943979695,57.13018221513608,16.90084908824091,0.295830477567831,235237,68821,207,29419,205818,44.966462243397075,44.966462243397096,44.96646224339687,44.96646224339712,44.966462243397054,165.03353775660293,35.830718836836446,1.7090894973494315,30.0,0.7122376419314141,0.0
0,25,30,17,50,340,300,25,2,33.348062936951685,190.59147295418367,10.606928649777085,0.00994398953359879,484.0,65434.429159291816,38717.099790097694,105067.50813208635,425336.78959767654,93969.33157037167,57958.94241633209,24045.288375711763,8.462712953215355,0.0,2158.925361275424,3373.6403190536225,56.90424596475421,16.90084908824091,0.2970050617788537,236171,69108,211,33183,202988,44.788630605578156,44.78863060557817,44.788630605577964,44.788630605578156,44.788630605577914,165.21136939442187,30.326415221039042,1.7465996152417986,30.0,0.6426395939086295,0.0
0,26,30,17,50,340,300,26,2,2.052356693850023,282.4759020893057,94.77389805860925,88.45294449486683,14049.0,502226.8135403729,823395.9102387939,6142532.487203492,584425.1173248627,42139.759278599144,457210.8782844822,2734.81120467572,43778.60570234302,0.0,1281.7279256015815,2024.4609099692345,230.4670920179765,68.17918989534724,0.295830477567831,235237,68821,207,29419,205818,181.39780742400222,181.39780742400197,181.39780742400285,181.397807424002,181.39780742400376,20.144229793041006,4.4792528275070564,1.288219313383555,30.0,0.7122376419314141,0.0
0,26,30,17,50,340,300,26,2,2.0952303266481396,286.06838693934606,91.62403614068538,84.99603942305174,14249.0,557538.5240455635,810471.5790868471,6034035.990319786,606164.9803114138,46220.8611024447,469570.0494101585,3266.3360117248376,43798.72909856324,0.0,1308.5058619797803,1960.0430902193718,225.865047390046,68.17918989534724,0.3018580815543748,240030,70251,212,32022,208008,177.77559482148067,177.77559482148052,177.7755948214804,177.77559482148027,177.7755948214794,28.813757837107673,5.587899877838328,1.5527113625137183,30.0,0.6693327720479899,0.0
0,26,30,17,50,340,300,26,2,2.112718572175421,281.13151977311287,89.80764404592291,83.64189054197082,14215.0,612721.8003086203,887095.5186191229,5990219.001151672,595698.8219189993,45592.40914875382,504440.60536922107,3712.7932997718212,46623.05733733103,0.0,1319.428274318949,2021.275306255338,224.14124313711463,68.17918989534724,0.30417958311063603,241876,70818,212,36555,205321,176.41880974135512,176.41880974135483,176.41880974135753,176.41880974135503,176.41880974135643,27.035120232322132,5.743286961672725,1.5569292809852886,30.0,0.5864453665283541,0.0
0,26,30,17,50,340,300,26,2,2.060109664604255,286.11160069348267,93.74600910825954,87.79149396173719,14207.0,593372.9233564239,813654.7628700978,6125746.538900994,603395.4774632488,44380.546023840296,483250.2743267595,2701.2802573512445,42811.97442052603,0.0,1286.570677183732,1928.6357147200192,229.55564961418946,68.17918989534724,0.2970050617788537,236171,69108,211,33183,202988,180.68042234228588,180.68042234228616,180.6804223422853,180.68042234228594,180.68042234228685,24.200604807128798,4.596589770018661,1.3777145911211124,30.0,0.6426395939086295,0.0
0,27,30,17,50,340,300,27,2,39.96837441373532,210.28490765320996,14.638021252469297,0.9150557621311814,6557.8899917177,87812.81489934414,57047.58357198989,194679.20043467035,424489.6801261507,72585.33192506494,69715.58692928309,14317.087860244608,559.5291277920347,0.0,12067.006150106374,8495.27630186762,135.39764222799536,40.870872529928285,0.3018580815543748,240030,70251,212,32022,208008,106.56981530642004,106.56981530641995,106.56981530641961,106.56981530642001,106.56981530641977,103.43018469357996,19.001154709916253,1.7690185253188717,30.0,0.6693327720479899,0.0
0,27,30,17,50,340,300,27,2,39.03235425337596,209.87823671633402,14.755003436005445,0.6754035224988267,5289.465994939538,95984.8328563843,68058.39185511059,200523.98771830037,413705.655256302,72872.71272045729,76787.47651874475,17493.527891983613,420.04309474786794,0.0,8356.790650253946,6722.0744488923465,134.36428609694937,40.870872529928285,0.30417958311063603,241876,70818,212,36555,205321,105.75647343266795,105.75647343266759,105.7564734326686,105.75647343266772,105.7564734326684,104.24352656733205,20.826970072199337,1.7546712509390618,30.0,0.5864453665283541,0.0
0,27,30,17,50,340,300,27,2,25.197205740906465,211.37059809468752,18.47219741339008,2.4585148064086777,14049.0,94088.69209657554,82005.42178066797,308820.746142124,408017.53865290486,70124.2873146656,82276.72258163737,15574.491300223905,1227.7973667657977,0.0,15736.419150393873,7601.48774759721,138.1563957370045,40.870872529928285,0.295830477567831,235237,68821,207,29419,205818,108.74119618937499,108.74119618937522,108.74119618937462,108.7411961893747,108.74119618937543,101.25880381062501,21.745852316326722,1.6959490251288691,30.0,0.7122376419314141,0.0
