#;bioma;champsTrouve;champsTrouvebiomass;consumed;eauTrouve;hcarbon_impact;herd_kmT;herd_size;htype;income;location;milk;milking_nb;name;pcTrouve;stock;stock_month;test;total_crb_consumed;total_pb_consumed;transhumance
432;0.0;false;true;0.0;false;0.0;0.0;213.0;'large';0.0;{109426.28249017455,76234.70908745631,0.0};0.0;21.0;'Troupeau432';false;0.0;0.0;'ras';0.0;0.0;false
433;0.0;true;true;0.0;true;0.0;0.0;10.0;'small';0.0;{28652.767235581865,43052.65940200702,0.0};0.0;1.0;'Troupeau433';false;0.0;0.0;'ras';0.0;0.0;false
434;0.0;true;true;0.0;true;0.0;0.0;48.0;'medium';0.0;{43388.47609959539,50613.126418944834,0.0};0.0;4.0;'Troupeau434';false;0.0;0.0;'ras';0.0;0.0;false
435;0.0;true;true;0.0;false;0.0;0.0;122.0;'large';0.0;{85958.3017067456,64473.982616664165,0.0};0.0;12.0;'Troupeau435';false;0.0;0.0;'ras';0.0;0.0;false
436;0.0;false;true;0.0;true;0.0;0.0;102.0;'large';0.0;{27561.233245654937,10710.661607328575,0.0};0.0;10.0;'Troupeau436';false;0.0;0.0;'ras';0.0;0.0;false
437;0.0;true;true;0.0;false;0.0;0.0;46.0;'medium';0.0;{72859.89382762245,64894.008562049596,0.0};0.0;4.0;'Troupeau437';false;0.0;0.0;'ras';0.0;0.0;false
438;0.0;true;true;0.0;true;0.0;10.0;15.0;'minifarm';0.0;{70676.82584776859,19531.206460422694,0.0};0.0;12.0;'Troupeau438';true;0.0;0.0;'cell9293';0.0;0.0;false
439;0.0;true;true;0.0;false;0.0;0.0;13.0;'small';0.0;{50483.44703412042,42212.60751123615,0.0};0.0;1.0;'Troupeau439';false;0.0;0.0;'ras';0.0;0.0;false
440;0.0;true;true;0.0;false;0.0;0.0;-3.0;'small';0.0;{99056.70958586872,58593.61938126809,0.0};0.0;-1.0;'Troupeau440';false;0.0;0.0;'ras';0.0;0.0;false
441;0.0;true;true;0.0;true;0.0;0.0;10.0;'small';0.0;{60853.01993842624,66994.13828897676,0.0};0.0;1.0;'Troupeau441';false;0.0;0.0;'ras';0.0;0.0;false
442;0.0;false;true;0.0;true;0.0;0.0;36.0;'large';0.0;{44480.01008952232,40112.477784308976,0.0};0.0;3.0;'Troupeau442';false;0.0;0.0;'ras';0.0;0.0;false
443;0.0;true;true;0.0;true;0.0;0.0;45.0;'medium';0.0;{43934.24309455886,35492.1923850692,0.0};0.0;4.0;'Troupeau443';false;0.0;0.0;'ras';0.0;0.0;false
444;0.0;false;true;0.0;true;0.0;0.0;27.0;'medium';0.0;{89778.67067148983,77914.81286899805,0.0};0.0;2.0;'Troupeau444';false;0.0;0.0;'ras';0.0;0.0;false
445;0.0;true;true;0.0;true;0.0;5.0;15.0;'minifarm';0.0;{109972.049485138,27091.673477360513,0.0};0.0;12.0;'Troupeau445';true;0.0;0.0;'cell14168';0.0;0.0;false
446;0.0;false;true;0.0;false;0.0;0.0;10.0;'small';0.0;{124161.99135418807,5250.324317317929,0.0};0.0;1.0;'Troupeau446';false;0.0;0.0;'ras';0.0;0.0;false
447;0.0;true;true;0.0;false;0.0;0.0;43.0;'medium';0.0;{47754.6120593031,61533.80099896612,0.0};0.0;4.0;'Troupeau447';false;0.0;0.0;'ras';0.0;0.0;false
448;0.0;true;true;0.0;true;0.0;0.0;10.0;'small';0.0;{72314.12683265899,45152.789128934186,0.0};0.0;1.0;'Troupeau448';false;0.0;0.0;'ras';0.0;0.0;false
449;0.0;false;true;0.0;false;0.0;0.0;43.0;'medium';0.0;{107788.98150528414,79174.89070515435,0.0};0.0;4.0;'Troupeau449';false;0.0;0.0;'ras';0.0;0.0;false
450;0.0;true;true;0.0;true;0.0;0.0;25.0;'medium';0.0;{49937.68003915696,1050.0648634635857,0.0};0.0;2.0;'Troupeau450';false;0.0;0.0;'ras';0.0;0.0;false
451;0.0;false;true;0.0;false;0.0;0.0;35.0;'medium';0.0;{117067.02041966304,84635.227995165,0.0};0.0;3.0;'Troupeau451';false;0.0;0.0;'ras';0.0;0.0;false
452;0.0;true;true;0.0;true;0.0;10.0;15.0;'minifarm';0.0;{46117.31107441271,8190.505935015968,0.0};0.0;12.0;'Troupeau452';true;0.0;0.0;'cell5345';0.0;0.0;false
453;0.0;true;true;0.0;false;0.0;0.0;27.0;'large';0.0;{122524.69036929768,41372.55562046528,0.0};0.0;2.0;'Troupeau453';false;0.0;0.0;'ras';0.0;0.0;false
454;0.0;true;true;0.0;false;0.0;0.0;39.0;'medium';0.0;{45571.544079449246,76234.70908745631,0.0};0.0;3.0;'Troupeau454';false;0.0;0.0;'ras';0.0;0.0;false
455;0.0;true;true;0.0;true;0.0;0.0;33.0;'medium';0.0;{25923.932260764544,41792.58156585071,0.0};0.0;3.0;'Troupeau455';false;0.0;0.0;'ras';0.0;0.0;false
456;0.0;true;true;0.0;false;0.0;0.0;10.0;'small';0.0;{55395.3499887916,42212.60751123615,0.0};0.0;1.0;'Troupeau456';false;0.0;0.0;'ras';0.0;0.0;false
457;0.0;true;true;0.0;true;0.0;0.0;44.0;'medium';0.0;{57032.65097368199,56073.46370895548,0.0};0.0;4.0;'Troupeau457';false;0.0;0.0;'ras';0.0;0.0;false
458;0.0;false;true;0.0;true;0.0;0.0;37.0;'medium';0.0;{29198.534230545327,6930.428098859666,0.0};0.0;3.0;'Troupeau458';false;0.0;0.0;'ras';0.0;0.0;false
459;0.0;true;true;0.0;false;0.0;0.0;34.0;'medium';0.0;{37385.039154997285,47672.94480124679,0.0};0.0;3.0;'Troupeau459';false;0.0;0.0;'ras';0.0;0.0;false
460;0.0;true;true;0.0;true;0.0;9.0;15.0;'minifarm';0.0;{108880.51549521108,37172.29616661093,0.0};0.0;12.0;'Troupeau460';true;0.0;0.0;'cell18518';0.0;0.0;false
461;0.0;true;true;0.0;true;0.0;0.0;13.0;'medium';0.0;{63036.0879182801,30871.90698582942,0.0};0.0;1.0;'Troupeau461';false;0.0;0.0;'ras';0.0;0.0;false
462;0.0;true;true;0.0;false;0.0;7.0;9.0;'small';0.0;{115429.71943477265,16591.024842724655,0.0};0.0;0.0;'Troupeau462';true;0.0;0.0;'cell10285';0.0;0.0;false
463;0.0;true;true;0.0;true;0.0;0.0;32.0;'medium';0.0;{12279.757386677942,56073.46370895548,0.0};0.0;3.0;'Troupeau463';false;0.0;0.0;'ras';0.0;0.0;false
464;0.0;true;true;0.0;false;0.0;0.0;18.0;'small';0.0;{101785.54456068604,66154.0863982059,0.0};0.0;1.0;'Troupeau464';false;0.0;0.0;'ras';0.0;0.0;false
